"curso","matriz","semestre","codigo","nome","creditos","tipo","subgrupo","preRequisitos","turmas"
"G054","2023/01","Indefinido","GNE487","Introdução a Operações Unitárias","3","eletiva","","Minimo: GEE105","[{""id"": ""34A"", ""horarios"": [{""dia"": 4, ""inicio"": 16, ""fim"": 19}], ""anp"": false}, {""id"": ""53A"", ""horarios"": [{""dia"": 4, ""inicio"": 16, ""fim"": 19}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 4, ""inicio"": 16, ""fim"": 19}], ""anp"": false}]"
"G054","2023/01","5","GNE491","Transferência de Calor","4","obrigatoria","","Minimo: GEE105","[{""id"": ""51A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""33A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""53A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""52A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""50A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 3, ""inicio"": 16, ""fim"": 18}, {""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}]"
"G054","2023/01","Indefinido","GNE503","Desenho de Modelos Tridimensionais Aplicado à Impressão 3D","3","eletiva","","","[{""id"": ""30A"", ""horarios"": [{""dia"": 2, ""inicio"": 13, ""fim"": 16}], ""anp"": false}]"
"G054","2023/01","Indefinido","GNE504","Desenho Assistido por Computador para Engenharias","3","eletiva","","","[{""id"": ""30A"", ""horarios"": [{""dia"": 5, ""inicio"": 13, ""fim"": 16}], ""anp"": false}, {""id"": ""30B"", ""horarios"": [{""dia"": 5, ""inicio"": 16, ""fim"": 19}], ""anp"": false}]"
"G054","2023/01","Indefinido","GNE505","Engenharia de Superfícies","3","eletiva","","Minimo: GNE366, GNE368; Co-requisito: GNE376","[]"
"G054","2023/01","Indefinido","GNU191","Saúde e cuidados na primeira infância","2","eletiva","","","[]"
"G054","2023/01","Indefinido","GNU192","Saúde e cuidados da mulher no pós parto","2","eletiva","","","[]"
"G054","2023/01","4","GQI135","Química Orgânica","3","obrigatoria","","Minimo: GQI144","[{""id"": ""19A"", ""horarios"": [{""dia"": 3, ""inicio"": 7, ""fim"": 10}], ""anp"": false}, {""id"": ""2A"", ""horarios"": [{""dia"": 3, ""inicio"": 9, ""fim"": 12}], ""anp"": false}, {""id"": ""53A"", ""horarios"": [{""dia"": 5, ""inicio"": 9, ""fim"": 12}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 5, ""inicio"": 9, ""fim"": 12}], ""anp"": false}, {""id"": ""20A"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 18}], ""anp"": false}, {""id"": ""12A"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 18}], ""anp"": false}, {""id"": ""5A"", ""horarios"": [{""dia"": 6, ""inicio"": 15, ""fim"": 18}], ""anp"": false}, {""id"": ""11A"", ""horarios"": [{""dia"": 4, ""inicio"": 16, ""fim"": 19}], ""anp"": false}]"
"G054","2023/01","1","GQI144","Química Geral","4","obrigatoria","","","[{""id"": ""59R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""61R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""59A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""60B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""49R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""49B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""60A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""3B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""61A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""46A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""61B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""54R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""3R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""49A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""60C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""46B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""54B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""3A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""49C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""54C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""59C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""60R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""61C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""46R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""3C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""59B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}, {""id"": ""46C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 11}, {""dia"": 4, ""inicio"": 10, ""fim"": 11}], ""anp"": false}]"
"G054","2023/01","2","GQI161","Química Experimental","2","obrigatoria","","Minimo: GQI144","[{""id"": ""22B"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""3B"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""54B"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""22A"", ""horarios"": [{""dia"": 4, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""60B"", ""horarios"": [{""dia"": 5, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""59A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""3A"", ""horarios"": [{""dia"": 4, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""54A"", ""horarios"": [{""dia"": 4, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""46A"", ""horarios"": [{""dia"": 2, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""49A"", ""horarios"": [{""dia"": 2, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""61A"", ""horarios"": [{""dia"": 3, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""60A"", ""horarios"": [{""dia"": 4, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""46B"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""49B"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""61B"", ""horarios"": [{""dia"": 3, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""59B"", ""horarios"": [{""dia"": 4, ""inicio"": 15, ""fim"": 17}], ""anp"": false}]"
